"","read_nai1","read_nai2","read_nai3","read_eff1","read_eff2","read_tem1","read_tem2","read_tcm1","read_tcm2"
"union_peak_32057",2.32716712,2.305518699,2.279880338,0.776849935,0.957773039,0.45326224,0.406126869,2.005016666,1.844349606
"union_peak_32077",0.912155957,0.817043469,1.029348958,0.211868164,0.442049095,0.262760719,0.355361011,0.581766494,0.63562331
"union_peak_32080",0.90046165,0.752327154,0.71458936,0.223638618,0.245582831,0.085397234,0.121838061,0.737596805,0.395962062
"union_peak_32081",1.660591614,1.480385691,1.565290978,0.85924311,0.920935615,0.459831258,0.52796493,1.184310362,1.302506784
"union_peak_32089",1.052487642,1.803967263,1.548276946,0.541440864,0.920935615,0.571504563,0.436586384,0.997313989,1.083685644
"union_peak_32090",0.865378728,1.294326287,1.701403237,0.670915853,0.528003086,0.479538312,0.304595152,1.381695423,1.271246621
"union_peak_32118",0.070165843,0.266954797,0.161633308,1.18881581,1.375263852,0.781713138,0.903632284,0.768762867,0.864864504
"union_peak_32140",0.526243821,0.4530142,0.621012182,3.943101942,4.457328376,4.145050337,4.122187722,2.711447409,2.386192428
"union_peak_32147",2.034809442,2.337876856,1.743938318,1.165274902,0.88409819,0.413848132,0.670109334,0.789540242,0.864864504
"union_peak_32156",0.152025993,0.088984932,0.017014032,0.941636285,0.88409819,0.551797509,0.680262506,0.550600432,0.718983745
"union_peak_32163",0.093554457,0.137522168,0.127605243,0.882784017,1.04372703,1.110164036,1.208227436,0.43632487,0.395962062
"union_peak_32164",0.198803221,0.11325355,0.161633308,1.082881727,1.080564455,0.696315904,0.538118102,0.467490933,0.510582659
"union_peak_32165",0.116943071,0.153701247,0.034028065,0.965177192,1.019168747,0.670039833,0.670109334,0.270105872,0.197981031
"union_peak_32172",1.567037156,0.663342222,0.944278797,0.153015896,0.15962884,0.157656431,0.284288808,0.47787962,0.354281845
"union_peak_32177",1.391622549,1.26196813,1.344108557,0.16478635,0.245582831,0.32188188,0.324901495,1.059646114,0.989905156
"union_peak_32178",0.865378728,0.91411794,0.774138473,0.200097711,0.15962884,0.105104287,0.375667354,0.405158808,0.437642279
"union_peak_32193",0.035082921,0.121343089,0.017014032,0.871013563,0.871819049,0.197070539,0.355361011,0.186996373,0.166720868
"union_peak_32198",0.210497528,0.283133875,0.212675405,0.353113607,0.429769954,0.768575102,0.812253738,0.488268307,0.385542008
"union_peak_32209",3.508292141,2.224623306,2.092725982,0.871013563,0.785865058,0.847403318,0.76148788,1.527137046,1.85476966
"union_peak_32215",0.596409664,0.404476965,0.425350809,2.165763455,2.185687193,1.87217012,2.030634346,3.449044214,3.084336064
"union_peak_32222",0.046777229,0.080895393,0,1.824420302,1.817312947,1.478029042,1.177767921,1.215476425,1.083685644
"union_peak_32223",0.783518578,0.614804986,0.586984117,2.024518012,2.197966334,1.760496815,1.319912325,2.140069602,1.719308955
"union_peak_32236",0.175414607,0.509640976,0.35729468,1.506618056,1.485776125,1.136440108,1.370678183,0.810317616,0.802344179
